Date,Title,Description,Duration,Links,Places
2024-01-27,Is Oxfam right about the world’s richest and poorest people?,"We investigate Oxfam’s claim that “since 2020, the five richest men in the world have seen their fortunes more than double, while almost five billion people have seen their wealth fall”.
With the help of Johan Norberg, Historian and Author of ideas and Felix Salmon, Financial Correspondent at Axios, we explore the figures behind the wealth of the richest and uncover what it really tells us about the world’s financial markets.
And Charles Kenny, senior fellow at the Centre for Global Development in Washington DC, helps us unpick why, when looking at the world’s poorest people, measurements of wealth don’t always tell us what we really need to know.
Presenter: Tim HarfordProducer: Debbie Richford Production Co-ordinator: Brenda BrownSeries Producer: Tom CollsSound Mix: Hal HainesEditor: Richard Vadon
(image: Elon Musk at the Viva Tech fair in Paris June 2023. Credit: Nathan Laine/Getty Images)",10 minutes,https://www.bbc.co.uk/programmes/p0h7crzz,"['Historian', 'Author', 'Washington DC', 'Paris']"
2024-01-25,"Shopping, shipping and wind chill-ing","Was Labour shadow chancellor Rachel Reeves wrong about the increase in the price of the weekly shop? What has the violence at sea done to the cost of shipping? Why did YouGov feel the need to correct an analysis of their polling? Are there 30 million GP appointments every month? And how does wind chill work?
Tim Harford investigates the numbers in the news.
Presenter: Tim HarfordReporters: Charlotte McDonald and Nathan GowerProducer: Debbie RichfordSeries producer: Tom CollsProduction co-ordinator: Brenda BrownSound Mix: Rod Farquhar",29 minutes,https://www.bbc.co.uk/programmes/p0h6pnkc,[]
2024-01-20,Are there more possible games of chess than atoms in the universe?,"We investigate how the vast possibilities in a game of chess compare to the vastness of the observable universe.
Dr James Grime helps us understand the Shannon number – a famous figure on the chess side of the equation - and astronomer Professor Catherine Heymans takes on the entire observable universe.
Presenter: Tim HarfordProducers: Debbie Richford and Nathan GowerProduction Co-ordinator: Brenda BrownSeries Producer: Tom CollsSound Mix: Andy FellEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0h621dv,[]
2024-01-17,"Life expectancy, inheritance tax and the NHS vs winter","We report on the state of the NHS as it struggles through a double wave of Covid and flu infections.
We report on the state of the NHS as it struggles through a double wave of Covid and flu infections.
Do only 4% of people pay inheritance tax? Paul Lewis sets out the figures.
And what do the latest life expectancy figures tell us about how long we’re going to live?
Presenter: Tim HarfordReporter: Kate LambleProducers: Nathan Gower and Debbie RichfordSeries producer: Tom CollsProduction co-ordinator: Brenda BrownSound mix: Graham PuddifootEditor: Richard Vadon",24 minutes,https://www.bbc.co.uk/programmes/p0h5ctqz,[]
2024-01-13,"Do we see 10,000 adverts per day?","How many adverts does the average person see in a day? If you search for this question online, the surprising answer is that we might see thousands – up to 10,000.
However, the idea that we see thousands of adverts is a strange and confusing one, without any good research behind it. We investigate the long history of these odd numbers, with the help of Sam Anderson from The Drum and J Walker Smith from Kantar.
Presenter: Tim HarfordSeries producer: Tom CollsProduction co-ordinator: Brenda Brown Sound Mix: James BeardEditor: Richard Vadon",9 minutes,https://www.bbc.co.uk/programmes/p0h4p2gb,['Kantar']
2024-01-10,"Deaths, taxes and missing cats","Did London see a 2500% increase in gun crime? Are taxes in the UK the highest since the 1950s? Did the UK have high excess deaths from Covid, compared to the rest of Europe? Do three cats go missing every second in the UK?
Tim and the team investigate a few of the numbers in the news.
Presenter: Tim HarfordProducer: Nathan GowerSeries Producer: Tom CollsProduction co-ordinator: Maria OgundeleSound mix: James BeardEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0h40366,"['London', 'UK', 'UK', 'Europe', 'UK']"
2024-01-06,How much money do the ‘Ndrangheta mafia make?,"The ‘Ndrangheta are one of Italy’s biggest and most dangerous criminal gangs. One piece of research suggested they have an annual turnover of €53bn - more than McDonalds and Deutsche Bank combined.
But is that number realistic? Professor Anna Sergi and Professor Francesco Calderoni help us figure out what kind of number makes sense.
Reporter: Perisha KudhailSeries producer: Tom CollsSound mix: Neil ChurchillEditor: Richard Vadon
(Picture: Human hands with strings controlling diagram.Credit: Boris Zhitkov/Getty Images)",9 minutes,https://www.bbc.co.uk/programmes/p0h32dy9,['Italy']
2023-12-30,Numbers of the year 2023,"Each year we ask some of our favourite statistically-minded people for their numbers of the year. Here they are - from the population of India to the results of a first division football match.
Contributors: Hannah Ritchie, Our World in Data Professor Sir David Spiegelhalter, Cambridge University Timandra Harkness, writer and comedian Rob Eastaway, maths author
Presenter: Charlotte McDonald Series Producer: Tom Colls Sound Engineer: Neil Churchill Editor: Richard Vadon
(Picture: Colourful numbers on blue background Credit: Tanja Ivanova / Getty Images)",13 minutes,https://www.bbc.co.uk/programmes/p0h11w6l,['India']
2023-12-23,Can chocolate be better than salad?,"We investigate a nutritional conundrum –can chocolate ever be better for you than salad? Today we dive in to one of our listener’s family debates and try to find an answer, with the help of nutrition experts Dr David Katz and Professor Bernadette Moore.
Reporter: Paul ConnollyResearcher: Perisha Kudhail Series Producer: Tom Colls Sound Engineer: James Beard Editor: Richard Vadon
(Picture: A pyramid made of chocolate and salad Credit: Gandee Vasan / Getty Images)",9 minutes,https://www.bbc.co.uk/programmes/p0h15qlr,[]
2023-12-16,China’s missing numbers,"How many young people are unemployed? How much debt does the government owe? How many people have died from Covid? These are questions that many governments will keep regularly updated. But in China they have disappeared. We investigate the reasons behind China’s missing numbers.
Reporter: Celia Hatton Series Producer: Tom Colls Sound Engineer: Graham Puddifoot Editor: Richard Vadon
(Picture: Chinese flag behind a graph with statistics Credit: Igor Kutyaev/iStock/Getty Images Plus)",9 minutes,https://www.bbc.co.uk/programmes/p0gzw3l2,"['China', 'China', 'Chinese']"
2023-12-09,Does endurance sport harm your heart?,"Exercise is good for you in all kinds of ways, there is no medicine like it to prevent a whole range of illnesses. But for some endurance athletes, exercise also comes with increased risk of a heart condition called atrial fibrillation.
We look for the right way to think about the risks around exercise.
Reporter: Paul ConnollySeries Producer: Tom CollsSound Engineer: Graham PuddifootEditor: Richard Vadon
(Picture: A cyclist training in the mountainsCredit: anton5146/Getty Creative)",9 minutes,https://www.bbc.co.uk/programmes/p0gygqz3,[]
2023-12-02,Will there be a billion climate refugees?,"Former Vice President Al Gore has said that climate change is predicted to lead to a billion climate refugees. But where do these predictions come from and are they realistic? We investigate the idea that floods, droughts, storms and sea level rise will cause a mass migration of people across borders.
Reporter and Producer: Tom Colls Sound Mix: James Beard Editor: Richard Vadon
(Photo: Floods in central Somalia Credit: Said Yusuf - WARSAME/EPA-EFE/REX/Shutterstock)",10 minutes,https://www.bbc.co.uk/programmes/p0gx3qyd,[]
2023-11-25,A boy meets girl meets stats story,"Veronica Carlin is a data scientist who loves romantic comedies. But she had a hunch about those movies, that there aren’t many women like her, women in STEM - science, technology, engineering and maths – taking the lead roles. So she set out on a maths quest to find out what’s what.
Presenter: Kate Lamble Series Producer: Tom Colls Editor: Richard Vadon Sound Engineer: Graham Puddifoot
(Picture: A young couple with a heart-shaped balloon on the street Credit: Cultura RM Exclusive/Spark Photographic / Getty)",9 minutes,https://www.bbc.co.uk/programmes/p0gvr8cj,[]
2023-11-18,Are women in the UK the biggest binge drinkers in the world?,"We check out suspect stats on boozing Brits and fishy figures on fishing fleets in the South China Sea.
With the help of Professor John Holmes from the University of Sheffield's School of Medicine and Population Health and Simon Funge-Smith, a senior fishery officer at the FAO.
Presenter and producer: Charlotte McDonaldSeries Producer: Tom CollsEditor: Richard VadonSound Engineer: Graham Puddifoot",9 minutes,https://www.bbc.co.uk/programmes/p0gtft50,"['Brits', 'the South China Sea', 'Charlotte']"
2023-11-11,Can maths prove the existence of aliens?,"Are we alone in the universe – and if not, how many other civilisations might there be? Remarkable images and data sent back to Earth by the James Webb telescope have given a new impetus to a well-worn debate. We ask how far mathematics – and in particular a famous equation called the Drake Equation – can be used to answer one of the most fundamental questions we face. Paul Connolly investigates with the help of Catherine Heymans, Astronomer Royal for Scotland and Professor at the University of Edinburgh and Bill Diamond, President and CEO of the SETI Institute in California.
Presenter: Paul ConnollyProducers: Paul Connolly and Jon BithreyEditor: Richard VadonProduction Co-ordinator: Katie MorrisonSound Engineer: David Crackles
(Image: : A cluster of young stars, surrounded by clouds of interstellar gas and dust, in a nebula, located in the constellation Carina. Credit: Reuters)",10 minutes,https://www.bbc.co.uk/programmes/p0grz4fl,"['Earth', 'Scotland', 'California', 'Carina']"
2023-11-04,Do Indian women own 11% of the world’s gold?,"The cultural importance of gold in India as a symbol of wealth, prosperity and safety is well known – but how much do Indians actually own? Reporter Perisha Kudhail looks at a widely circulated claim about Indian women owning 11% of the world’s gold, with the help of Delhi based journalist Mridu Bhandari and Joshua Saul, CEO of the Pure Gold Company.
Presenter: Ben Carter Reporter and Producer: Perisha KudhailSeries Producer: Jon BithreyEditor: Richard Vadon Sound Engineer: James Beard
(Image: A saleswoman shows gold bangles to a customer at a jewellery showroom in Kolkata. Credit: Reuters/Rupak De Chowdhuri/File Photo)",9 minutes,https://www.bbc.co.uk/programmes/p0gqlxy3,"['India', 'Indians', 'Indian', 'Delhi', 'Kolkata']"
2023-10-28,The Overlooked Mathematicians of History,"Conventional histories of mathematics are dominated by well-known names like Pythagoras, Leibniz or Newton. But to concentrate solely on figures from Europe gives us only a patchwork understanding of the rich and varied history of mathematical achievement around the world. Tim Harford speaks to Dr Kate Kitagawa, co-author of ‘The Secret Lives of Numbers’ to explore the long history of mathematical advances and innovation across civilisations and centuries, from the female mathematician at court in imperial China to the pioneers in the mathematical powerhouses of the Middle East in the first millennium AD.
Presenter: Tim Harford Producer: Jon Bithrey Editor: Richard Vadon Sound Engineer: James Beard
(Picture: Statue of Al Khwarizmi, a ninth century mathematician Credit: Mel Longhurst/VW Pics/Universal Images Group via Getty Images)",9 minutes,https://www.bbc.co.uk/programmes/p0gp92dx,"['Pythagoras', 'Newton', 'Europe', 'Dr', 'China', 'the Middle East']"
2023-10-21,What do windscreen splats tell us about insect decline?,"Do you notice fewer insect splats on windscreens than you used to? There’s a study in the UK trying to measure this ‘windscreen phenomenon’, as it’s become known. We hear more about the study and whether we can draw conclusions about insect numbers in general, from reporter Perisha Kudhail, Dr Lawrence Ball from the Kent Wildlife Trust and Professor Lynn Dicks from the University of Cambridge.
Presenter: Ben Carter Reporter/Producer: Perisha Kudhail Series Producer: Jon Bithrey Editor: Richard VadonSound Engineer: Graham Puddifoot
(Photo: Dead insects on a windshield Credit: shanecotee / Getty)",9 minutes,https://www.bbc.co.uk/programmes/p0gmwg6b,['UK']
2023-10-14,Greedy jobs and the gender pay gap,"Harvard professor Claudia Goldin has become only the third woman to win the Nobel Economics Prize for her groundbreaking research on women’s employment and pay. Tim Harford discusses her work showing how gender differences in pay and work have changed over the last 200 years and why the gender pay gap persists to this day.
Presenter: Charlotte McDonald Producer: Jon Bithrey Editor: Richard Vadon Sound Engineer: David Crackles
(Picture: Claudia Goldin at Havard University Credit: Reuters / Reba Saldanha)",13 minutes,https://www.bbc.co.uk/programmes/p0glflm0,[]
2023-10-07,Are half the words in English from French?,"Are almost half the words in the English language of French origin? It’s a claim one of our loyal listeners found surprising. Tim Harford talks to Dr Beth Malory, lecturer in English Linguistics at University College London, who explains why so many words derived from French have ended up in English.
Presenter: Tim Harford Producer: Daniel Gordon Series Producer: Jon Bithrey Editor: Richard Vadon Sound Engineer: Graham Puddifoot
(Picture: A French dictionary showing the entry 'Dictionnaire' Credit: NSA Digital Archive / iStock / Getty Images Plus)",10 minutes,https://www.bbc.co.uk/programmes/p0gjy078,"['French', 'French', 'French', 'Dictionnaire']"
2023-10-04,"Vaccine claims, Alzheimer's treatment and Tim's Parkrun times","John Campbell, a YouTuber whose posts get millions of views, has made claims about excess deaths and the Covid vaccine. We show why he's incorrect. Also will a much-vaunted new treatment for Alzheimer's really change lives and how much longer can Tim expect his Parkrun times to improve? We look at the trends – and the rest of the team’s times.",28 minutes,https://www.bbc.co.uk/programmes/p0gj8frd,[]
2023-09-30,Is the UK really ahead in cutting carbon emissions?,"The UK Prime Minister has announced several changes to key policies designed to help Britain reach net zero by 2050. In a major speech justifying what many see as a watering down of commitments, Rishi Sunak championed Britain’s achievements to date in cutting emissions. But where does the UK actually stand compared to other countries? Tim Harford talks to Hannah Ritchie from Our World in Data and author of “Not the End of the World”.
Presenter: Tim Harford Producers: Nathan Gower, Jon Bithrey Editor: Richard Vadon Sound Engineer: James Beard
(Photo: Smoke rising out of chimneys at Ratcliffe on Soar power station Credit: David Jones / PA)",9 minutes,https://www.bbc.co.uk/programmes/p0ghk7dm,"['UK', 'Britain', 'Britain', 'UK', 'Data']"
2023-09-27,"NHS consultant pay, Net Zero claims and Scotland's ferry woes","NHS consultants in England are striking over a pay offer of 6%. We look at whether they are paid an average of £120,000 a year and examine how much their pay compared to inflation has fallen. Also we fact check some of the claims Rishi Sunak made in his net zero speech, ask whether Britain is really that bad at building infrastructure compared to other countries and investigate the real levels of cancellations at Scotland and the UK's largest ferry company, Calmac.",30 minutes,https://www.bbc.co.uk/programmes/p0ggvbxq,"['England', 'Britain', 'Scotland', 'UK', 'Calmac']"
2023-09-23,Which city has the longest canals?,"After a listener emailed More or Less to ask whether world famous Venice or the slightly less famous English city of Birmingham has more canals, Daniel Gordon decided to investigate and widen the question to the whole world – with some interesting answers.
Guests: Giovanni Giusto, Venice City Councillor David Edwards-May, Inland Waterways International Dr Hamed Samir, University of Basra Bai Lee, Editor of China Grand Canal
Presenter/Producer: Daniel Gordon Series Producer: Jon Bithrey Editor: Richard Vadon Sound Engineer: David Crackles
(Picture: Gondola in Venice Credit: Jane Worthy/BBC)",10 minutes,https://www.bbc.co.uk/programmes/p0gg676f,"['Venice', 'Birmingham', 'Venice', 'Venice']"
2023-09-20,"Social housing, NHS workforce and Liz Truss debt claims","Long: Housing minister Rachel Maclean claimed the government has built a record number of social rent homes. Tim and the team investigate. Following Lucy Letby’s conviction, we look at how sentences for murder have changed over the past few decades. Plus after Liz Truss’s speech this week defending her short stint as Prime Minister, Tim reminds us how her mini-budget raised borrowing costs and might have pushed up the national debt even more. And will 1 in 11 workers in England really work for the NHS by the middle of the next decade?
Presenter: Tim HarfordSeries producer: Jon BithreyProducers: Daniel Gordon, Natasha Fernandes, Nathan Gower, Charlotte McDonald,Editor: Richard VadonProduction Co-ordinator: Maria OgundeleSound Engineer: Rod Farquhar",28 minutes,https://www.bbc.co.uk/programmes/p0gfm0wk,['England']
2023-09-16,How to approach the world through numbers,"How can we navigate our lives in a more efficient and satisfactory way? It’s a question Professor David Sumpter is looking to answer in his new book, Four Ways of Thinking. He talks to Tim Harford about four different approaches to our day to day challenges.
Presenter: Tim Harford Producer: Jon Bithrey Sound Engineer: Andy Fell Editor: Richard Vadon
(Picture: Conceptual illustration of mathematics Credit: Science Photo Library / Getty)",9 minutes,https://www.bbc.co.uk/programmes/p0gdw6yv,[]
2023-09-13,"Skin cancer, London rents and your great great great granddaughter","A BBC report quoted a study that said 1 in 4 men and 1 in 5 women in the UK will get skin cancer in their lifetime. Tim Harford and the team look into the detail. Also London’s Mayor Sadiq Khan said London’s average rent will hit £2,700 a month next year, with the average take home salary £2,131. How accurate are the figures and what do they tell us about the affordability of the capital’s rental properties? We fact check Donald Trump’s recent claim that 35,000 Americans died building the Panama Canal. And as noughties band Busted re-release Year 3000 with the Jonas Brothers, just how many greats should be in front of “granddaughter” in that famous lyric?",29 minutes,https://www.bbc.co.uk/programmes/p0gd5gfl,"['UK', 'London', 'London', 'Americans']"
2023-09-11,"Did 35,000 Americans die building the Panama Canal?","The construction of the Panama Canal linking the Atlantic and Pacific Oceans through Central America is considered one of the greatest engineering feats of all time. It also caused enormous human suffering and loss of life. Donald Trump claimed in a recent interview that 35,000 Americans died in the canal’s construction. But is that true? Tim Harford finds out, with the help of Matthew Parker, author of Hell’s Gorge: The Battle to Build the Panama Canal. Presenter: Tim Harford Producer: Jon Bithrey Editor: Richard Vadon Sound Engineer: Graham Puddifoot (Boat Crossing on the Panama Canal in Panama Credit: Keystone-France/Gamma-Keystone via Getty Images)",14 minutes,https://www.bbc.co.uk/programmes/p0gcyz95,"['Atlantic', 'Pacific Oceans', 'Central America', 'Americans', 'Panama']"
2023-09-06,"Covid deaths, North Sea gas and Chloe Kelly's World Cup penalty","Covid related deaths are rising in England and Wales - but what do the figures really tell us? Also the UK's GDP during the pandemic has been revised upwards. Tim Harford and team ask why and discuss what it tells us about the UK's economic performance compared to other countries. Is North Sea gas really four times cleaner than gas from abroad? It's a claim recently made by the government. And we ask whether Chloe Kelly's penalty shot at the World Cup was really faster than the Premier League's fastest goal last season.
Presenter: Tim HarfordSeries Producer: Jon BithreyReporters: Nathan Gower, Natasha FernandesEditor: Richard VadonProduction Coordinator: Maria Ogundele",29 minutes,https://www.bbc.co.uk/programmes/p0gbvhqt,"['England', 'Wales', 'UK', 'UK', 'North Sea']"
2023-09-02,What percentage of our brain do we actually use?,"On this week’s episode of More or Less we interrogate a widely circulated myth relating to how much of our brain power we can access and engage. Ever heard someone say, “You know we can only use 10% of our brains, right?”. Well, they’re wrong. It’s the stuff of make believe and far-fetched movie plots. Science and evidence based research tells us so - and has, it turns out, been telling us so for decades…politely, if impatiently. So, then, if not 10%…what percentage of our brain do we actually use? From dark matter neurons to super-highway synapse and ghost cells that serve as inert echoes of our evolutionary past - with the help of two leading experts in the field, we crack open the figurative cranium of this debate and rummage around for the definitive truth.
Presenter: Paul Connolly Producers: Jon Bithrey, Natasha Fernandes Editor: Richard Vadon Sound Engineer: Rod Farquhar
(Artificial intelligence brain network/Getty)",9 minutes,https://www.bbc.co.uk/programmes/p0gb3p8x,[]
2023-08-30,"HS2 and electric cars, UK vs China emissions & massive maths errors","Can you really buy an electric car for everybody in the UK for the cost of HS2? That claim was recently made on Radio 4's Broadcasting House programme. Also we look at a viral claim that 1 in 73 people who received the Covid vaccine in England was dead by May 2022. Plus we look at the size of the UK's carbon emissions when compared with China and talk about how a recent More or Less maths error pales in comparison to one in the Guardian.
Presenter: Tim HarfordSeries Producer: Jon BithreyReporters: Nathan Gower, Natasha FernandesProduction Co-ordinator: Janet StaplesEditor: Richard Vadon",29 minutes,https://www.bbc.co.uk/programmes/p0g9hh8m,"['UK', 'England', 'UK', 'China']"
2023-08-26,How safe is the release of Fukushima nuclear plant water?,"Water used to cool nuclear reactors at the stricken Fukushima nuclear power plant in Japan is being released into the Pacific Ocean by Japanese authorities. The move has sparked protests and concerns about safety in the region and met with retaliation from near neighbour China. But how safe is the water that’s been released? Presenter Charlotte McDonald and reporter Calum Grewar investigate, with the help of Professor Jim Smith of the University of Portsmouth and Professor Gerry Thomas, formerly of Imperial College London and the Chernobyl Tissue Bank.
Presenter: Charlotte McDonaldReporter: Calum GrewarProducer: Jon BithreyEditor: Richard VadonSound Engineer: James BeardProduction Co-ordinator: Brenda Brown",10 minutes,https://www.bbc.co.uk/programmes/p0g8vzv0,"['Japan', 'the Pacific Ocean', 'Japanese', 'China', 'Charlotte']"
2023-08-19,How many butterflies are there in the world?,"Butterflies are a much-loved feature of summer in many parts of the world. But how many of them are there on Earth?
That’s the question a young listener to More or Less wanted an answer to – and she couldn’t find the answer no matter how hard she searched the internet.
Presenter Daniel Gordon enlists Professor Jane Hill, a butterfly expert at York University, England, who’s also President of the Royal Entomological Society, to try and help solve the mystery.
He also consults Holly Mynott, International Officer of Butterfly Conservation, who describes the techniques used to run The Big Butterfly Count in the UK – the biggest event of its kind in the world.
Producer/Presenter: Daniel GordonSeries Producer: Jon BithreyEditor: Richard VadonProduction Co-ordinator: Brenda BrownSound Engineer: Graham Puddifoot",9 minutes,https://www.bbc.co.uk/programmes/p0g7jkbn,"['Earth', 'England', 'UK']"
2023-08-12,Why is it so hard to predict the outcome of competitions like the Premier League?,"Football competitions are kicking off all around Europe in the coming days and weeks, including the world’s most watched division: The English Premier League. We might make our predictions on who we think is going to win a sporting competition but what factors are we considering?In this programme we look at some of the most popular variables that are taken into account when making sporting predictions and why even these have drawbacks. From upcoming football leagues to the Olympic Games, Head Analyst from Nielsen Gracenote, Simon Gleave tells us what are some of the most difficult sports to predict and why.
Presenter: Paul ConnollyProducer: Natasha FernandesEditor: Richard VadonProduction Co-ordinators: Debbie Richford and Janet StaplesSound Engineer: Graham Puddifoot
Image: Premier League Trophy, Credit: Carl Recine/Reuters",10 minutes,https://www.bbc.co.uk/programmes/p0g672ks,"['Europe', 'English']"
2023-08-05,Are the media exaggerating how hot it is in the Mediterranean?,"Reports on heatwaves across the globe have dominated our newsfeeds over the last few weeks, with temperatures said to have soared over the 40C mark in many parts of Europe. But across social media, not everyone is buying it. A trickle of scepticism swelled to a tidal surge, with people questioning whether temperatures are being hyped up by the wider media to drive fear and scare-monger.
In this programme, we unpick allegations made about how these temperatures are recorded - and if they are accurate. We hear from Samantha Burgess at the Copernicus Climate Change Service; Alessandro Delitala from the Sardinia Environmental Protection Agency; and Sean Buchan from Climate Action Against Disinformation.
Presenter: Paul Connolly Producer: Natasha Fernandes Editor: Richard Vadon Production Co-ordinator: Brenda Brown Sound Engineer: Rod Farquhar",9 minutes,https://www.bbc.co.uk/programmes/p0g4wqmd,"['Europe', 'Samantha Burgess']"
2023-07-29,"Data, extreme weather and climate change","Recent global headlines have been dominated by record temperatures across Europe, North America and parts of Asia. As extreme weather events have happened for decades, how are links to climate change made? In this programme we look at how scientists use data to draw climate conclusions and hear how that data isn’t always available, with a focus on severe flooding earlier this year in part of Central Africa. With Joyce Kimutai, principal meteorologist and climate scientist at the Kenya Meteorological Department and researcher at the Grantham Institute for Climate Change, Imperial College.
Presenter: Kate LambleProducer: Nathan Gower, Jon BithreyEditor: Simon WattsProduction Co-ordinator: Brenda BrownSound Engineer: Graham Puddifoot",9 minutes,https://www.bbc.co.uk/programmes/p0g3k4c1,"['Europe', 'North America', 'Asia', 'n’t', 'Central Africa']"
2023-07-22,Ukraine war: A new way of calculating Russian deaths,"Official information on the numbers of dead and injured in the Ukraine war has been in short supply. Little has come from either the Ukrainian or Russian sides, with estimates from western governments and intelligence agencies filling the information void. But some Russian journalists have been documenting war deaths and have come up with a new way of estimating fatalities using probate records. With contributions from David Frenkel, reporter at Mediazona and the BBC’s Russian Service correspondent Olga Ivshina.",10 minutes,https://www.bbc.co.uk/programmes/p0g26yfx,"['Ukrainian', 'Russian', 'Russian', 'Mediazona']"
2023-07-15,Are more adult nappies sold in Japan than baby ones?,"Japan has one of the highest rates of life expectancy and one of the lowest birth rates. But does that mean that a widely circulated claim – that more nappies aimed at adults are sold in Japan than those made for babies – is true? With guests Sarah Parsons, Senior Teaching Fellow at SOAS in London and Dr Mireya Solis, Knight Chair in Japan Studies at the Brookings Institution.
Presenter: Charlotte McDonaldReporter: Isobel GoughProducers: Isobel Gough, Jon BithreySound Engineer: James BeardProduction Co-ordinator: Brenda Brown",9 minutes,https://www.bbc.co.uk/programmes/p0g0xv60,"['Japan', 'Japan', 'London', 'Dr', 'Japan', 'Charlotte']"
2023-07-08,"Does it take 10,000 litres of water to make a pair of jeans?","Various claims have been made about how much water is used in the production of a pair of jeans, that cornerstone of casual clothing. With growing worries over the environmental impact of denim production, More or Less decided to investigate - with the help of journalist and researcher Elizabeth L. Cline who has written extensively on sustainability and the fashion industry. This programme was first broadcast in July 2022. Presenter: Tim Harford Producers: Lizzy McNeill, Jon Bithrey Programme Coordinator: Brenda Brown Sound engineer: Neil Churchill Editor: Richard Vadon (A worker sews blue jeans in a textile company in Xintang, China, dubbed the 'denim jeans capital of the world'. Photo: Lucas Schifres/Getty images)",10 minutes,https://www.bbc.co.uk/programmes/p0fzmb71,"['Xintang', 'China']"
2023-07-05,Immigration: A More or Less Special Programme,"More than 1.2 million people came into the country to stay for more than 12 months in 2022. As only 560,000 left the country, this means net migration is at an all-time high. Both the Prime Minister and Home Secretary have said the number of people coming needs to come down. But who counts as an immigrant? How are the figures worked out?
Charlotte McDonald will be finding out what the numbers tell us about who is coming to the UK and why. Plus - what about the people who left in 2022?",29 minutes,https://www.bbc.co.uk/programmes/p0fyysdr,['UK']
2023-07-01,Will there be just 6 grandchildren for every 100 South Koreans?,"An article on the UK’s Telegraph newspaper website claimed that there would be just 6 grandchildren for every 100 South Koreans today. We ask whether that figure is correct and look at why South Korea’s birth rate has fallen to one of the lowest in the world, with the help of author and mathematician Rob Eastaway and journalist and author Hawon Jung.
Presenter: Tim HarfordProducers: Bethan Ashmead Latham, Jon BithreyEditor: Richard VadonProduction Co-ordinator: Brenda BrownSound Engineer: James Beard",10 minutes,https://www.bbc.co.uk/programmes/p0fy91wf,"['UK', 'South Koreans', 'South Korea’s']"
2023-06-28,"Halving inflation, Scottish tidal power and have 1 in 3 women had an abortion?","One of Rishi Sunak's five priorities for 2023 is to halve inflation. Given prices are still rising, we discuss whether it's going be possible. Also does Scotland have more tidal power capacity than the rest of the world combined, as has been claimed? We look at competing claims about how prepared the NHS was before the pandemic, ask whether scrapping VAT on products like tampons and e-books has actually benefitted consumers and look at the claim that one in three women in the UK has had an abortion.",31 minutes,https://www.bbc.co.uk/programmes/p0fxmcgy,"['Scotland', 'UK']"
2023-06-24,US National Debt: is $32 trillion a big number?,"‘This episode was updated on 26th June to remove an error in how we quantified 32 trillion dollars’ The level of US government debt has just surpassed 32 trillion dollars. Negotiations over raising the borrowing limit once again went down to the wire a few weeks ago. But how concerned should we all be about how much the US government borrows? We investigate with the help of Kent Smetters, professor at the Wharton School of the University of Pennsylvania and Betsey Stevenson, Professor of Economics and Public Policy at the University of Michigan.",9 minutes,https://www.bbc.co.uk/programmes/p0fwzj9f,"['US', 'US']"
2023-06-21,"Mortgages, birth rates and does space contribute 18% to UK GDP?","Mortgage rates have risen to 6%. But are things as bad as when rates were much higher in the 1970s and 80s? We look at just how much pain today's rises mean. Also will there be just 6 grandchildren for every 100 South Koreans today? And we look into a claim that the space industry supports 18% of the UK's economy.
Presenter: Tim HarfordSeries Producer: Jon BithreyReporters: Beth Ashmead Latham, Nathan Gower, Charlotte McDonaldSound Engineer: James BeardProduction Co-ordinator: Brenda Brown",29 minutes,https://www.bbc.co.uk/programmes/p0fw9dn9,"['South Koreans', 'UK', 'Charlotte']"
2023-06-17,Is breastfeeding the key to exam success?,"A new study by researchers at Oxford University has linked better exam results at school with being breastfed as a baby. But how much faith can we put in the findings? Tim Harford speaks to Emily Oster, professor of economics at Brown University in the US and the author of three books about pregnancy and parenting.",9 minutes,https://www.bbc.co.uk/programmes/p0fvpl7h,['US']
2023-06-14,"Electric vehicles, 600 million bottles and does oral sex cause cancer?",There's been a lot of coverage about the risks electric cars may pose to infrastructure like bridges and car parks. We look at how much heavier EVs are. Plus we look at a new study that suggests a link between breastfeeding and improved grades at GCSE level. Also is throat cancer now primarily caused by a sexually transmitted disease - and are 600 million bottles going to litter Scotland because of disagreements with the UK government over the new Deposit Return Scheme?,32 minutes,https://www.bbc.co.uk/programmes/p0ftzp0k,"['Scotland', 'UK']"
2023-06-10,Counting Hunger in India,"How prevalent is hunger and malnutrition in India? With Indian data journalist Rukmini S, we interrogate recent claims that hunger has worsened dramatically in recent years, and explore how malnutrition affects child mortality in the world’s most populous country.
Presenter: Tim HarfordProducer: Nathan GowerEditor: Richard VadonProgramme Coordinator: Brenda Brown Sound Engineer: Neil Churchill",10 minutes,https://www.bbc.co.uk/programmes/p0ft90mz,"['India', 'Indian']"
